libelle_court,libelle_long,libelle_edition,id
'CATRC','CATALAN  LV.REG. CORRESP.','Catalan  lv.reg. corresp.',1639
'CORR','CORSE  LV.REG.','Corse  lv.reg.',1640
'CORRC','CORSE  LV.REG. CORRESP.','Corse  lv.reg. corresp.',1641
'GALR','GALLO  LV.REG.','Gallo  lv.reg.',1642
'GALRC','GALLO  LV.REG. CORRESP.','Gallo  lv.reg. corresp.',1643
'GASR','GASCON  LV.REG.','Gascon  lv.reg.',1644
'GASRC','GASCON  LV.REG. CORRESP.','Gascon  lv.reg. corresp.',1645
'LANR','LANGUEDOCIEN  LV.REG.','Languedocien  lv.reg.',1646
'LANRC','LANGUEDOCIEN  LV.REG. CORRESP.','Languedocien  lv.reg. corresp.',1647
'OCCR','LANGUE D''OC  LV.REG.','Langue d''oc  lv.reg.',1648
'OCCRC','LANGUE D''OC  LV.REG. CORRESP.','Langue d''oc  lv.reg. corresp.',1649
'LRAR','LANGUES D''ALSACE  LV.REG.','Langues d''Alsace  lv.reg.',1650
'LRARC','LANGUES D''ALSACE  LV.REG. CORRESP.','Langues d''Alsace  lv.reg. Corresp.',1651
'LIMR','LIMOUSIN  LV.REG.','Limousin  lv.reg.',1652
'LIMRC','LIMOUSIN  LV.REG. CORRESP.','Limousin  lv.reg. corresp.',1653
'NISR','NISSART  LV.REG.','Nissart  lv.reg.',1654
'NISRC','NISSART  LV.REG. CORRESP.','Nissart  lv.reg. corresp.',1655
'PRVR','PROVENCAL  LV.REG.','Provençal  lv.reg.',1656
'PRVRC','PROVENCAL  LV.REG. CORRESP.','Provençal  lv.reg. Corresp.',1657
'TAHR','TAHITIEN  LV.REG.','Tahitien  lv.reg.',1658
'SLQ2','SLOVAQUE  LV2','Slovaque  lv2',1659
'SLQ3','SLOVAQUE LV3','Slovaque lv3',1660
'SLQ5','SLOVAQUE DEBUTANT','Slovaque debutant',1661
'SLQ2C','SLOVAQUE LV2  CORRESP.','Slovaque lv2  corresp.',1662
'SLQ3C','SLOVAQUE LV3  CORRESP.','Slovaque lv3  corresp.',1663
'SLN2','SLOVENE  LV2','Slovène  lv2',1664
'SLN3','SLOVENE LV3','Slovène lv3',1665
'SLN5','SLOVENE DEBUTANT','Slovène debutant',1666
'SLN2C','SLOVENE LV2  CORRESP.','Slovène lv2  corresp.',1667
'SLN3C','SLOVENE LV3  CORRESP.','Slovène lv3  corresp.',1668
'SWA2','SWAHILI  LV2','Swahili  lv2',1669
'SWA3','SWAHILI LV3','Swahili lv3',1670
'SWA5','SWAHILI DEBUTANT','Swahili debutant',1671
'SWA2C','SWAHILI LV2  CORRESP.','Swahili lv2  corresp.',1672
'SWA3C','SWAHILI LV3  CORRESP.','Swahili lv3  corresp.',1673
'TAM2','TAMOUL  LV2','Tamoul  lv2',1674
'TAM3','TAMOUL LV3','Tamoul lv3',1675
'TAM5','TAMOUL DEBUTANT','Tamoul debutant',1676
'TAM9','TAMOUL LANGUE DE SECTION','Tamoul langue de section',1677
'TAM2C','TAMOUL LV2  CORRESP.','Tamoul lv2  corresp.',1678
'TAM3C','TAMOUL LV3  CORRESP.','Tamoul lv3  corresp.',1679
'IDAUT','ITINERAIRE DECOUVERTE (AUTRES)','Itineraire decouverte (autres)',1680
'CIRQU','ARTS DU CIRQUE','Arts du cirque',1681
'MATPC','MATHEMATIQUES PHYSIQUE-CHIMIE','Mathematiques physique-chimie',1682
'HIS-M','HIST. INSTRUMENT, STYLES ET MUSICOLOGIE','Hist. instrument, styles et musicologie',1683
'OTRLV','ORGA.& TECHNIQ DE LA RECEPTION EN 2 LVE','Orga.& techniq de la reception en 2 lve',1684
'OTETA','ORGANISATION ET TECHNIQUES DES ETAGES','Organisation et techniques des etages',1685
'MERTC','MERCATIQ.& TECHNIQ. DE COMMERCIALISATION','Mercatiq.& techniq. de commercialisation',1686
'GT-RH','GESTION & TECHNIQU. RESSOURCES HUMAINES','Gestion & techniqu. ressources humaines',1687
'OGACO','ORGA. & GEST. ADMINISTRATIVE & COMPTABLE','Orga. & gest. administrative & comptable',1688
'CP-LN','COMMUNICAT.PROFESSION. EN LANGUE NATION.','Communicat.profession. en langue nation.',1689
'MODRE','MODULE REGIONAL','Module regional',1690
'IFCOM','INFORMATIQUE COMMERCIALE','Informatique commerciale',1691
'MGUCO','MANAGEMENT GESTION  UNITES COMMERCIALES','Management gestion  unites commerciales',1692
'GRCOM','GESTION DE LA RELATION COMMERCIALE','Gestion de la relation commerciale',1693
'DUNCO','DEVELOPPEMENT DE L''UNITE COMMERCIALE','Developpement de l''unite commerciale',1694
'G-CLI','GESTION DE CLIENTELES','Gestion de clienteles',1695
'RELCL','RELATION CLIENT','Relation client',1696
'MEQCO','MANAGEMENT DE L''EQUIPE COMMERCIALE','Management de l''equipe commerciale',1697
'GPROJ','GESTION DE PROJET','Gestion de projet',1698
'ASECT','APPROFONDISSEMENT SECTORIEL','Approfondissement sectoriel',1699
'LABCC','LABORATOIRE DE CREATION ET DE CONCEPTION','Laboratoire de creation et de conception',1700
'LDTSS','LEGISLAT.-DRT TRAVAIL SANTE SECURIT-TRAV','Legislat.-drt travail sante securit-trav',1701
'BIOTA','BIOCHIMIE ET TECHNOLOGIES D''ANALYSE','Biochimie et technologies d''analyse',1702
'BBCMO','BIOCHIM. BIOLOGIE CELLULAIRE MOLECULAIRE','Biochim. biologie cellulaire moleculaire',1703
'MBBCM','MICROBIOLOGIE BIOLOGIE CELLUL. MOLECUL.','Microbiologie biologie cellul. molecul.',1704
'STBIN','SCIENCES TECHNOLOGIES BIOINDUSTRIELLES','Sciences technologies bioindustrielles',1705
'SPHCH','SCIENCES PHYSIQUES ET CHIMIQUES','Sciences physiques et chimiques',1706
'ETCPU','ETUD.COMMERCIALES ET ETUD. PUBLICITAIRES','Etud.commerciales et etud. publicitaires',1707
'AGCOM','ANGLAIS COMMERCIAL ET TECHNIQUE','Anglais commercial et technique',1708
'CMNOR','COMMUNICATION ET ORGANISATION','Communication et organisation',1709
'ERACO','ETUDES RECHERCHES APP.A LA COMMUNICATION','Etudes recherches app.a la communication',1710
'BURAS','BUREAU D''ASSURANCE','Bureau d''assurance',1711
'TXASY','TRAVAUX D''APPLICATION ET DE SYNTHESE','Travaux d''application et de synthese',1712
'INTEX','INTERVENTION EXTERIEURE SUR ENTREPRISE','Intervention exterieure sur entreprise',1713
'O-GEN','ORGANISATION ET GESTION DE L''ENTREPRISE','Organisation et gestion de l''entreprise',1714
'E-OEN','ECONOMIE ET ORGANI. DE L''ENTREPRISE','Economie et organi. de l''entreprise',1715
'TAHRC','TAHITIEN  LV.REG. CORRESP.','Tahitien  lv.reg. corresp.',1716
'VALR','VIVARO-ALPIN  LV.REG.','Vivaro-alpin  lv.reg.',1717
'VALRC','VIVARO-ALPIN  LV.REG. CORRESP.','Vivaro-alpin  lv.reg. corresp.',1718
'MOSR','LANGUES DES PAYS MOSELLANS  LV.REG.','Langues des pays mosellans  lv.reg.',1721
'MOSRC','LANGUES DES PAYS MOSELLANS  LV.REG. COR.','Langues des pays mosellans  lv.reg. cor.',1722
'MELR','LANGUES MELANESIENNES  LV.REG.','Langues mélanesiennes  lv.reg.',1723
'LMJR','MELANESIEN AJIE  LV.REG.','Mélanésien ajie  lv.reg.',1724
'LMJRC','MELANESIEN AJIE  LV.REG. CORRESP.','Mélanésien ajie  lv.reg. Corresp.',1725
'LMRR','MELANESIEN DREHU  LV.REG.','Mélanésien drehu  lv.reg.',1726
'LMNR','MELANESIEN NENGONE  LV.REG.','Mélanésien nengone  lv.reg.',1727
'LMNRC','MELANESIEN NENGONE  LV.REG. CORRESP.','Mélanésien nengone  lv.reg. Corresp.',1728
'LMDR','MELANESIEN PAICI  LV.REG.','Mélanésien paici  lv.reg.',1729
'ESYST','ETUDE DES SYSTEMES STR. METALLIQUES','Etude des systemes str. metalliques',1730
'TGQPR','TECHNOLOGIE GESTION QUALITE PREVENTION','Technologie gestion qualite prevention',1731
'EMMPG','ETUD.MOULAGE METHOD. PREP. GEST.PRODUCT.','Etud.moulage method. prep. gest.product.',1732
'EXMMA','ETUDE EXPE. MAINTENANCE MATER. AGRICOLES','Etude expe. maintenance mater. agricoles',1733
'FONDA','FONDAMENTAUX DE L''ASSURANCE','Fondamentaux de l''assurance',1734
'TASSU','TECHNIQUES D''ASSURANCE','Techniques d''assurance',1735
'COTCO','COMMUNICATION TECHNIQUES COMMERCIALES','Communication techniques commerciales',1736
'ATRSP','ASSURANCES TRANSPORTS','Assurances transports',1737
'APPAP','APPLICATION DE L''APPAREILLAGE','Application de l''appareillage',1738
'ETCAP','ETUDE ET CONCEPTION DE L''APPAREILLAGE','Etude et conception de l''appareillage',1739
'FESTH','FORMATION ESTHETIQUE (SAI)','Formation esthetique (sai)',1740
'COSME','COSMETOLOGIE','Cosmetologie',1741
'TALOC','TECHNOLOGIE DES APPAREILS ET DES LOCAUX','Technologie des appareils et des locaux',1742
'TESTH','TECHNIQUES ESTHETIQUES','Techniques esthetiques',1743
'ARMAQ','ART ET MAQUILLAGE','Art et maquillage',1744
'GEIND','GENIE INDUSTRIEL BIO','Genie industriel bio',1745
'GEPRO','GENIE DES PROCEDES','Genie des procedes',1746
'TEPRO','TECHNOLOGIE ETUDE DE PROCEDES','Technologie etude de procedes',1747
'LANGT','LANGAGE TECHNIQUE PLASTURGIE','Langage technique plasturgie',1748
'PSCQG','PRODUCT. SUIVI CONTROLE QUALITE GESTION','Product. suivi controle qualite gestion',1749
'VHABT','VENTE DE PRODUITS DE L''HABITAT','Vente de produits de l''habitat',1750
'ENSTC','ENSEIGNEMENT TECHNIQUE','Enseignement technique',1751
'ELIOP','ELECTRON.INFORMATIQ.IND.OPTOELECTRONIQ.','Electron.informatiq.ind.optoelectroniq.',1752
'EJBCA','ENS.ECO.JUR.OUT.BUR.TEC.COMM.COMP.ADM.','Ens.eco.jur.out.bur.tec.comm.comp.adm.',1753
'BURCR','BUREAU DE CREATION','Bureau de creation',1754
'DVTOU','DEVELOPPEMENT TOURISTIQUE','Developpement touristique',1755
'EVTOU','ENVIRONNEMENT TOURISTIQUE','Environnement touristique',1756
'NGTOU','NEGOCIATION TOURISTIQUE','Negociation touristique',1757
'CCTOU','CONCEP.COMMERC.PRDTS TOUR. SYST.INFQ','Concep.commerc.prdts tour. syst.infq',1758
'AAPRO','ACCUEIL ANIMATION PROFESSIONNELS','Accueil animation professionnels',1759
'COTOP','CONNAISSANCES TOPOGRAPHIQUES','Connaissances topographiques',1760
'DIGEO','DOMAINES D''INTERVENTION DU GEOMETRE','Domaines d''intervention du geometre',1761
'OPTGP','OPTIQUE GEOMETRIQUE ET PHYSIQUE','Optique geometrique et physique',1762
'ETSOP','ETUDE TECHNIQUE DES SYSTEMES OPTIQUES','Etude technique des systemes optiques',1763
'ANVIS','ANALYSE DE LA VISION','Analyse de la vision',1764
'MSFAC','MESURES FACIALES','Mesures faciales',1765
'ERCEQ','ETUDE REALISATION CONTROLE D''EQUIPEMENT','Etude realisation controle d''equipement',1766
'MAGAP','MAGASIN D''APPLICATION','Magasin d''application',1767
'IALAB','INFORMATIQUE APPLIQUEE AU LABORATOIRE','Informatique appliquee au laboratoire',1768
'EXPAN','EXPERIMENTATION ANIMALE','Experimentation animale',1769
'IMHCY','IMMUNOLOGIE HISTOLOGIE CYTOLOGIE','Immunologie histologie cytologie',1770
'BCRDV','BUREAU DE CREATION:RECHERCHE ET DEVELOPT','Bureau de creation:recherche et developt',1771
'AULOG','AUTOMATISMES ET LOGIQUE','Automatismes et logique',1772
'ERGSE','SECURITE ET ERGONOMIE','Securite et ergonomie',1773
'SPCHA','SCIENCES PHYSIQUES ET CHIMIE APPLIQUEE','Sciences physiques et chimie appliquee',1774
'OUCOT','OUTILS DE LA COMMUNICATION TECHNIQUE','Outils de la communication technique',1775
'XAO','XAO','Xao',1776
'BBM-E','BIOCHIMIE BIOLOGIE MICROBIOLOG. DES EAUX','Biochimie biologie microbiolog. des eaux',1777
'CAM1','CAMBODGIEN LV1','Cambodgien lv1',1779
'CAM1C','CAMBODGIEN LV1 CORRESP.','Cambodgien lv1 corresp.',1780
'CAM4','CAMBODGIEN LV RENFORCE','Cambodgien lv renforce',1781
'CAM4C','CAMBODGIEN LV RENFORCE CORRESP.','Cambodgien lv renforce corresp.',1782
'PER1','PERSAN LV1','Persan lv1',1788
'PER4','PERSAN LV RENFORCE','Persan lv renforce',1789
'PER9','PERSAN LANGUE DE SECTION','Persan langue de section',1790
'PER4C','PERSAN LV RENFORCE CORRESP.','Persan lv renforce corresp.',1791
'MLG9','MALGACHE LANGUE DE SECTION','Malgache langue de section',1803
'RCONV','REPRESENTATION CONVENTIONNELLE','Representation conventionnelle',1807
'RECHA','RECHERCHE APPLIQUEE (ARTS)','Recherche appliquee (arts)',1808
'AIIAL','AUTOMATIQ. INFORMATIQ. INDUS. ELECTRONIQ','Automatiq. informatiq. indus. electroniq',1809
'SYOPT','SYSTEME OPTIQUE','Systeme optique',1810
'PROPT','PRODUCTION OPTIQUE','Production optique',1811
'PRMEC','PRODUCTION MECANIQUE (OPTIQUE)','Production mecanique (optique)',1812
'SCALI','SCIENCES DES ALIMENTS','Sciences des aliments',1813
'SMSON','STUDIO DE MONTAGE ET DE SON','Studio de montage et de son',1814
'SFTEC','STUDIO DE FABRICATION - TECHNOLOGIE','Studio de fabrication - technologie',1815
'LOGTQ','LOGISTIQUE','Logistique',1816
'MANMC','MANUTENTION MECANISEE','Manutention mecanisee',1817
'CPT-R','COMPTABILITE APPROFONDIE ET REVISION','Comptabilite approfondie et revision',1818
'SEMIO','SEMIOLOGIE','Semiologie',1819
'HECRI','HISTOIRE DES ECRITURES','Histoire des ecritures',1820
'ATGRA','ATELIER (ARTS GRAPHIQUES)','Atelier (arts graphiques)',1821
'LABEG','LABORATOIRE EXPERIMENTATIONS GRAPHIQUES','Laboratoire experimentations graphiques',1822
'PCMET','PHYSIQUE CHIMIE METALLURGIE','Physique chimie metallurgie',1823
'TTTUY','TECHNOLOGIE - TRACAGE - TUYAUTERIE','Technologie - tracage - tuyauterie',1824
'GPDVQ','GESTION DE PRODUCTION - DEVIS - QUALITE','Gestion de production - devis - qualite',1825
'PCHAN','PREPARATION DU TRAVAIL - CHANTIER','Preparation du travail - chantier',1826
'MCOMP','MATERIAUX COMPOSITES','Materiaux composites',1827
'TKMEO','TECHNIQUES DE MISE EN OEUVRE','Techniques de mise en oeuvre',1828
'RPROJ','THEME (REALISATION PROJET)','Theme (realisation projet)',1829
'ACSPE','ACCUEIL TOURISTES A BESOINS SPECIFIQUES','Accueil touristes a besoins specifiques',1830
'DRSOC','DROIT DES SOCIETES','Droit des societes',1832
'ECJS','EDUCATION CIVIQUE, JURIDIQUE ET SOCIALE','Education civique, juridique et sociale',1833
'IFGCM','INFORMATIQUE DE GESTION ET COMMUNICATION','Informatique de gestion et communication',1834
'AIFRA','AIDE INDIVIDUALISEE EN FRANCAIS','Aide individualisee en francais',1835
'AIMAT','AIDE INDIVIDUALISEE EN MATHEMATIQUES','Aide individualisee en mathematiques',1836
'MANIN','MISE A NIVEAU EN INFORMATIQUE','Mise a niveau en informatique',1837
'VICLA','VIE DE CLASSE','Vie de classe',1838
'ATEXA','ATELIER D''EXPRESSION ARTISTIQUE','Atelier d''expression artistique',1839
'AIAUT','AIDE INDIVIDUALISEE AUTRES MATIERES','Aide individualisee autres matieres',1840
'ENVEC','ENVIRONNEMENT ECONOMIQUE','Environnement economique',1841
'ENFLE','ENERGETIQUE FLUIDIQUE ENVIRONNEMENT','Energetique fluidique environnement',1842
'RMOPT','REAL. MISE EN O.PROCEDURES (GEN.THERMIQ)','Real. mise en o.procedures (gen.thermiq)',1843
'HISTE','HISTOIRE SCIENCES TECHNIQUES ENTREPRISES','Histoire sciences techniques entreprises',1844
'COOTX','COORDINATION DE TRAVAUX','Coordination de travaux',1845
'PRJBA','PROJET DE BATIMENT','Projet de batiment',1846
'MEPSM','MODELISATION ETUDE PREDICTIVE SYST.MECA.','Modelisation etude predictive syst.meca.',1847
'EMMTP','ETUD.EXPE. MAINTENANC.MATERIELS TRVX PUB','Etud.expe. maintenanc.materiels trvx pub',1848
'VTVIN','VENTE DE VIN','Vente de vin',1849
'VTPBF','VENTE PRODUITS BANCAIRES ET FINANCIERS','Vente produits bancaires et financiers',1850
'VTPAA','VENTE DE PRODUITS AGRO-ALIMENTAIRES','Vente de produits agro-alimentaires',1851
'RANIV','REMISE A NIVEAU','Remise a niveau',1852
'HEHIC','HEMATOLOGIE-HISTOLOGIE-CYTOLOGIE','Hematologie-histologie-cytologie',1853
'PPCP','PROJET PLURIDISC. A CARACT.PROFESSIONNEL','Projet pluridisc. a caract.professionnel',1854
'APD','ACTIVITES PROFESSIONNELLES DIRIGEES','Activites professionnelles dirigees',1855
'VEJEC','VIE ECO.JURID. DE L''ENTREP. COMMERCIALIS','Vie eco.jurid. de l''entrep. commercialis',1856
'CEIPE','CONNAISS.ENTREP. INIT.PRATIQ.INFORMATIQ.','Connaiss.entrep. init.pratiq.informatiq.',1857
'ATEPS','ATELIER D''EDUCATION PHYSIQUE ET SPORTIVE','Atelier d''education physique et sportive',1858
'PCLAB','PHYSIQUE ET CHIMIE DE LABORATOIRE','Physique et chimie de laboratoire',1859
'BIOLP','BIOLOGIE DE LABORATOIRE ET PARAMEDICALE','Biologie de laboratoire et paramedicale',1860
'FRLIT','FRANCAIS ET LITTERATURE','Francais et litterature',1861
'APLA5','ARTS PLASTIQUES 5 HEURES','Arts plastiques 5 heures',1862
'CIAV5','CINEMA-AUDIOVISUEL 5 HEURES','Cinema-audiovisuel 5 heures',1863
'MUSI5','MUSIQUE 5 HEURES','Musique 5 heures',1864
'DANS5','DANSE 5 HEURES','Danse 5 heures',1865
'HIDA5','HISTOIRE DES ARTS 5 HEURES','Histoire des arts 5 heures',1866
'INSTR','INSTRUMENTATION','Instrumentation',1867
'CASVQ','CADRE POL. JUR. ACT.SOC. VIE QUOTIDIENNE','Cadre pol. jur. act.soc. vie quotidienne',1868
'PSYKO','PSYCHOLOGIE','Psychologie',1869
'BASAN','BIOLOGIE APPLIQUEE - SANTE','Biologie appliquee - sante',1870
'ALTHP','ALIMENTATION THEORIQUE ET PRATIQUE','Alimentation theorique et pratique',1871
'HABAM','HABILLEMENT AMEUBLEMENT','Habillement ameublement',1872
'APSEC','ACTIONS PROFESSION.(BIO.SANT.ENV.COLLEC)','Actions profession.(bio.sant.env.collec)',1873
'COMTC','COMMUNICATION COMMERCIALE ET TECHNIQUE','Communication commerciale et technique',1874
'TMNUM','TECHNOLOGIE DES MEDIAS NUMERIQUES','Technologie des medias numeriques',1875
'TMMED','TECHNOLOGIE MULTIMEDIA','Technologie multimedia',1876
'MIBHM','MICROBIOLOGIE HOR MAX','Microbiologie hor max',2105
'T-EXV','TECHNIQUES D''EXPRESSION VISUELLE','Techniques d''expression visuelle',2106
'TGOMU','TRANSPOS.GRAPHIQUE D''UNE OEUVRE MUSICALE','Transpos.graphique d''une oeuvre musicale',2107
'SDPCT','SCENOGRAPHIE-DECOR-PERSONNAGES CONSTRUCT','Scenographie-decor-personnages construct',2108
'T-PHO','TECHNIQUE PHOTOGRAPHIE','Technique photographie',2109
'CI-SP','CINEMA SPECIALITE','Cinema specialite',2110
'THTPA','THEATRE OPTION - PRATIQUE ARTISTIQUE','Theatre option - pratique artistique',2111
'HITHE','HISTOIRE DU THEATRE','Histoire du theatre',2112
'PHOTO','PHOTOGRAPHIE','Photographie',2113
'BCDNT','BUREAU DE CREATION:TP ET DESSIN TECHNIQU','Bureau de creation:tp et dessin techniqu',2114
'T-HAB','TECHNIQUES DE L''HABILLAGE','Techniques de l''habillage',2115
'CREAA','CREATION ARTISANALE','Creation artisanale',2116
'T-REL','TECHNIQUES (OU TECHNOLOG) DE REALISATION','Techniques (ou technolog) de realisation',2117
'HIART','HISTOIRE DE L''ART','Histoire de l''art',2118
'D-COU','DESSIN:COULEUR','Dessin:couleur',2119
'A-TKC','ARTS, TECHNIQUES ET CIVILISATION','Arts, techniques et civilisation',2120
'BCREA','BUREAU DE CREATION : REALISATION','Bureau de creation : realisation',2121
'D-ARA','DESSIN D''ARTS APPLIQUES','Dessin d''arts appliques',2122
'TXPCP','TRAV.PROF.CONDUITE PRODUCTION','Trav.prof.conduite production',2123
'DFPGR','DEFINIT.DES PROCES.PRODUCTION GRAPHIQUE','Definit.des proces.production graphique',2124
'CMNGR','COMMUNICATION GRAPHIQUE','Communication graphique',2125
'ENCOQ','ENTRETIEN DES COQUES','Entretien des coques',2126
'AUTAC','AUTRES ACTIVITES (CONDUITE,NAVIGATION)DV','Autres activites (conduite,navigation)dv',2127
'A-CTA','ARTS ET CIVIL-TECH.AGENCEMENT ET HABITAT','Arts et civil-tech.agencement et habitat',2128
'BCCRE','BUREAU DE CREATION : CREATION','Bureau de creation : creation',2129
'ELTEO','ELECTROTECHNIQUE-ELECTRONIQUE','Electrotechnique-electronique',2130
'R-TPA','REALISATION (TP APPAREILLAGE ET S.A)','Realisation (tp appareillage et s.a)',2131
'TECSF','TECHNOLOGIE SCHEMA ET FABRICATION','Technologie schema et fabrication',2132
'GNEED','GENIE ELECTRIQUE ELECTRONIQUE DIVERS','Genie electrique electronique divers',2133
'P-OTS','PREPA.- ORGA.: TECHNOLOGIE SYSTEMES ELEC','Prepa.- orga.: technologie systemes elec',2134
'ELETR','ELECTRICITE ET ELECTRONIQUE','Electricite et electronique',2135
'ELOII','ELECTRONIQUE, INFORMATIQUE INDUSTRIELLE','Electronique, informatique industrielle',2136
'CTAUD','CONSTRUCTION ET AUTOMATISME DIVERS','Construction et automatisme divers',2137
'MICGR','MICROGRAPHIE','Micrographie',2138
'P-OSP','PREP.ORG.SUIVI PRODUCTIONS TECHNO FABRIC','Prep.org.suivi productions techno fabric',2139
'ME-AP','MECANIQUE APPLIQUEE','Mecanique appliquee',2140
'PD-BM','PRODUCTIQUE BOIS ET MATERIAUX ASSOCIES','Productique bois et materiaux associes',2141
'C-OUT','CONCEPTION DES OUTILLAGES (PRODUCT.MECA)','Conception des outillages (product.meca)',2142
'MNMEC','MAINTENANCE MECANIQUE','Maintenance mecanique',2143
'MITKA','MES.INDUS. ET TECH.D''APPAREIL.','Mes.indus. et tech.d''appareil.',2144
'D-CAT','DESSIN DE CONSTRUCTION ATELIER','Dessin de construction atelier',2145
'CTAUT','CONSTRUCTION ET AUTOMATISME','Construction et automatisme',2146
'TECPA','TECHNO.SECURITE PREV. ACCIDENTS TRAVAIL','Techno.securite prev. accidents travail',2147
'ETCHM','ETUDE DES CONSTRUCTION HOR. MAX.','Etude des construction hor. max.',2148
'D-TGD','DESSIN TECHNIQUE - GEOMETRIE DESCRIPTIVE','Dessin technique - geometrie descriptive',2149
'GNMCD','GENIE MECA.CONSTRUCTION DIVERS','Genie meca.construction divers',2150
'PD-PO','PRODUCTIQUE : PREPARATION ORGANISATION','Productique : preparation organisation',2151
'TSA','TECHNOLOGIE DES SYSTEMES AUTOMATIS.','Technologie des systemes automatis.',2152
'GR4GD','GR4(''DCS''-GEOMETRIE DESCRI.,''TCS'',''MRM'')','Gr4(''dcs''-geometrie descri.,''tcs'',''mrm'')',2153
'D-GCV','DESSIN (GENIE CIVIL)','Dessin (genie civil)',2154
'R-TEM','REALISATION:TOPOGRAPHIE,ESSAIS,MESURES,C','Realisation:topographie,essais,mesures,c',2155
'VPTTP','VISITE ET PRESENTATION TECHNIQUES (TP)','Visite et presentation techniques (tp)',2156
'ARCCO','ARCHITECTURES ET COMPOSANTS','Architectures et composants',2157
'P-CCH','PREPARATION ET CONDUITE DE CHANTIER','Preparation et conduite de chantier',2158
'EOMST','ET.OUVR.:MECA STRU.-TECHNO CONSTRUCTIONS','Et.ouvr.:meca stru.-techno constructions',2159
'P-OFC','PREP. ET ORGANIS.FABRICATION ET CONTROLE','Prep. et organis.fabrication et controle',2160
'T-CO','TECHNIQUES CONNEXES(STOC.MANU.TRANS.MECA','Techniques connexes(stoc.manu.trans.meca',2161
'ETRIP','ETUDE ET REALISATION INDUSTR.DE PRODUITS','Etude et realisation industr.de produits',2162
'CT-OU','CONCEPTION DES OUTILLAGES','Conception des outillages',2163
'TECGF','TECHNOLOGIE GENERALE DE FABRICATION','Technologie generale de fabrication',2164
'O-IND','ORGANISATION INDUSTRIELLE','Organisation industrielle',2165
'G-OST','GESTION-ORGAN. SCIENT. TRAVAIL','Gestion-organ. scient. travail',2166
'TPMIR','TRAVAUX PRATIQUES MIROITERIE','Travaux pratiques miroiterie',2167
'TPFAB','TRAVAUX PRATIQUES DE FABRICATION','Travaux pratiques de fabrication',2168
'A-TMH','ARTS ET TECH.DU MOBILIER ET DE L''HABITAT','Arts et tech.du mobilier et de l''habitat',2169
'APINP','APPLICATIONS INDUSTRIELLES PAPETERIE','Applications industrielles papeterie',2170
'TECIP','TECHNOLOGIE DES INDUSTRIES PAPETIERES','Technologie des industries papetieres',2171
'ESPAP','ETUDE SYSTEMIQUE PROCESS (GEN.PAPETIER)','Etude systemique process (gen.papetier)',2172
'QUALB','QUALITE (PRODUCTIQUE BOIS AMEUBLEMENT)','Qualite (productique bois ameublement)',2173
'MOGMT','MISE EN O. GEST.MOYENS DE TRANSF.(G.PAP)','Mise en o. gest.moyens de transf.(g.pap)',2174
'TECCP','TECHNOLOGIE DE COMPLEMENT','Technologie de complement',2175
'R-GIB','REALISATION ET CONTROLE (GEN.INDUS.BOIS)','Realisation et controle (gen.indus.bois)',2176
'N-ART','ENSEIGNEMENT ARTISTIQUE','Enseignement artistique',2177
'MUSCO','MUSICOLOGIE','Musicologie',2178
'EDART','EDUCATION ARTISTIQUE','Education artistique',2179
'AP-AP','ATELIER DE PRATIQUE : ARTS PLASTIQUES','Atelier de pratique : arts plastiques',2180
'ACSPS','ACTIVITES SPORTIVES SPECIALISEES','Activites sportives specialisees',2181
'AVIRO','AVIRON','Aviron',2182
'HANDB','HANDBALL','Handball',2183
'TECME','TECHNOLOGIE : METALLURGIE','Technologie : metallurgie',2184
'MOETP','MODULE: ENSEIGN. TECHNO. ET PROFESS.','Module: enseign. techno. et profess.',2185
'DISTI','DICTEE, SOLFEGE, TECHNIQUE INSTRUMENTALE','Dictee, solfege, technique instrumentale',2186
'S-IN2','SCIENCES INDUSTR.2 HEURES MPSI','Sciences industr.2 heures mpsi',2187
'MESAU','MESURES ET AUTOMATISMES','Mesures et automatismes',2188
'CNTRE','CONTROLE ET REGULATION','Controle et regulation',2189
'TECIN','TECHNOLOGIE INDUSTRIELLE','Technologie industrielle',2190
'D-TEC','DESSIN ET TECHNOLOGIE','Dessin et technologie',2191
'CH-CO','CHIMIE GENERALE ET CHIMIE ORGANIQUE','Chimie generale et chimie organique',2192
'MA-MO','MATHEMATIQUES MODULE','Mathematiques module',2193
'SPHSA','SCIENCES PHYSIQUES ET SCIENCES APPLIQ.','Sciences physiques et sciences appliq.',2194
'UIFCH','UTILISATION DE L''INFORMATIQUE EN CHIMIE','Utilisation de l''informatique en chimie',2195
'TSP','TECHNIQUES DES SCIENCES PHYSIQUES','Techniques des sciences physiques',2196
'PH-LI','PHYSIQUE(LABO.INDUSTRIEL ET RECHERCHE','Physique(labo.industriel et recherche',2197
'SVTOP','SCIENCES DE LA VIE ET DE LA TERRE OPTION','Sciences de la vie et de la terre option',2198
'CO-MC','CONNAISSANCE DU MONDE CONTEMPORAIN','Connaissance du monde contemporain',2199
'HICTX','HISTOIRE-COMMENTAIRE DE TEXTES','Histoire-commentaire de textes',2200
'HIGDV','HISTOIRE ET GEOGRAPHIE DIVERS','Histoire et geographie divers',2201
'I-ESC','INITIATION ECONOMIQUE ET SOCIALE','Initiation economique et sociale',2202
