libelle_court,libelle_long,libelle_edition,id
'OU-MG','OUTILS MATHEMATIQUES DE GESTION','Outils mathematiques de gestion',219
'PGSEN','PRINCIPE DE GESTION ENTREPRISES','Principe de gestion entreprises',220
'O-PLN','ORGANISATION ET PLANIFICATION','Organisation et planification',221
'ANADA','ANALYSE ADMINISTRATIVE ET APPLIQUEE','Analyse administrative et appliquee',222
'OU-GS','OUTILS DE GESTION','Outils de gestion',223
'VIENT','VIE ENTREPRISE','Vie entreprise',224
'T-QTG','TECHNIQUES QUANTITATIVES DE GESTION','Techniques quantitatives de gestion',225
'TECCU','TECHNOLOGIE CULINAIRE','Technologie culinaire',226
'PR-CG','PRATIQUE DE LA CONDUITE DES GROUPES','Pratique de la conduite des groupes',227
'PUBED','PUBLICITE EDITION','Publicite edition',228
'T-HEB','TECHNIQUE DE L''HEBERGEMENT','Technique de l''hebergement',229
'O-SEJ','ORGANISATION DES SEJOURS','Organisation des sejours',230
'E-GTL','ECONOMIE GEST. ENTRE.ET ORG.TOUR.LOISIR','Economie gest. entre.et org.tour.loisir',231
'RSOHU','RELATIONS SOCIALES ET HUMAINES','Relations sociales et humaines',232
'T-HCP','TECHN.ACCUEIL HEBERG.COMMUNICATION PROF.','Techn.accueil heberg.communication prof.',233
'ACMPR','ACTIV.ET MANIFESTATIONS PROFESSIONNELLES','Activ.et manifestations professionnelles',234
'SCTEC','SCIENCES APPLIQUEES ET TECHNOLOGIE','Sciences appliquees et technologie',235
'PCTRG','PATRIMOINE CULTUREL ET TOURIST. REGIONAL','Patrimoine culturel et tourist. regional',236
'TOURQ','TOURISMATIQUE','Tourismatique',237
'HOTDI','HOTELLERIE TOURISME DIVERS','Hotellerie tourisme divers',238
'T-INF','TECHNIQUES D''INFORMATION','Techniques d''information',239
'T-ANG','TECHNIQUES D''ANIMATION DE GROUPES','Techniques d''animation de groupes',240
'DEXPI','DISCIPLINE D''EXPRESSION ET D''INFORMATION','Discipline d''expression et d''information',241
'T-COA','TECHNIQUE DE COMMUNICATION - D''ANIMATION','Technique de communication - d''animation',242
'CMNPO','COMMUNICATION PROFESSIO. ORALE ET ECRITE','Communication professio. orale et ecrite',243
'EX-CM','EXPRESSION COMMUNICATION','Expression communication',244
'CMNCA','COMMUNICATION','Communication',245
'MT-TG','METHODES ET TECHNIQUES GRAPHIQUES COMMU.','Methodes et techniques graphiques commu.',246
'EDTKC','EDITION ET TECHNIQUES DE COMMUNICATION','Edition et techniques de communication',247
'FR-TC','FRANCAIS ET TECHNIQUES DE COMMUNICATION','Francais et techniques de communication',248
'CMNCI','COMMUNICATION ET CIVILISATION','Communication et civilisation',249
'OU-TC','OUTILS ET TECHNIQUES DE COMMUNICATION','Outils et techniques de communication',250
'DIMPF','DIMENSION PROFESSIONNELLE','Dimension professionnelle',251
'DIMPS','DIMENSION PSYCHOLOGIQUE ET SOCIOLOGIQUE','Dimension psychologique et sociologique',252
'TXSYN','TRAVAUX DE SYNTHESE','Travaux de synthese',253
'ETCAS','ETUDE DE CAS','Etude de cas',254
'TPSYN','TRAVAUX PRATIQUES DE SYNTHESE','Travaux pratiques de synthese',255
'T-IMM','TECHNIQUE DE L''IMMOBILIER','Technique de l''immobilier',256
'CPT-F','COMPTABILITE, FINANCES DIVERS','Comptabilite, finances divers',257
'CUISI','CUISINE','Cuisine',258
'CUITP','CUISINE (TECHNOLOGIE, TRAVAUX PRATIQUES)','Cuisine (technologie, travaux pratiques)',259
'MQTOU','MERCATIQUE DU TOURISME','Mercatique du tourisme',260
'T-CUL','TECHNIQUES CULINAIRES','Techniques culinaires',261
'ATTAA','ACTION TOURISTIQUE APPROFONDIE APPLIQUEE','Action touristique approfondie appliquee',262
'RESTP','RESTAURANT(TECHNOLOGIE,TP,OENOLOGIE)','Restaurant(technologie,tp,oenologie)',263
'ATTGA','ACTION TOURISTIQUE GENERALE APPLIQUEE','Action touristique generale appliquee',264
'DCTRP','DOCUMENT DE TRANSPORT','Document de transport',265
'O-TOU','ORGANISATION DU TOURISME','Organisation du tourisme',266
'E-TOU','ECONOMIE TOURISTIQUE','Economie touristique',267
'TPAGE','TRAVAUX PRATIQUES D''AGENCE','Travaux pratiques d''agence',268
'FRETF','FRET ET TRAFIC','Fret et trafic',269
'DOCUM','DOCUMENTATION','Documentation',270
'RESTO','RESTAURANT','Restaurant',271
'MARKT','MARKETING ETUD.DE MARCHES ETUDES DE CAS','Marketing etud.de marches etudes de cas',110
'FCTCO','FONCTION COMMERCIALE','Fonction commerciale',111
'ATVTA','ACTION VENTE APPLIQUEE','Action vente appliquee',112
'T-COM','TECHNIQUES COMMERCIALES','Techniques commerciales',113
'G-CMF','GESTION CIALE ET MANAG. FORCE DE VENTE','Gestion ciale et manag. force de vente',114
'VENTP','VENTE(TP,PRESENTATION,EXPR.,COMPORTEMENT','Vente(tp,presentation,expr.,comportement',115
'COMIA','COMMERCE INTERNATIONAL APPLIQUE','Commerce international applique',116
'MT-AC','METHODES ADMINISTRATIVES ET COMMERCIALES','Methodes administratives et commerciales',117
'ATCOM','ACTION COMMERCIALE','Action commerciale',118
'VLIBR','VENTE EN LIBRAIRIE','Vente en librairie',119
'BURCO','BUREAU COMMERCIAL','Bureau commercial',120
'N-COM','ENSEIGNEMENT COMMERCIAL','Enseignement commercial',121
'MQNEG','MERCATIQUE ET NEGOCIATION','Mercatique et negociation',122
'ANTCO','ANALYSE TECHNICO-COMMERCIALE','Analyse technico-commerciale',123
'MERCA','MERCATIQUE','Mercatique',124
'SERVC','SERVICE ET COMMERCIALISATION','Service et commercialisation',125
'APRSE','APPROFONDISSEMENT SECTORIEL','Approfondissement sectoriel',126
'MQNMI','MERCATIQUE-NEGOCIATION-MANAGEMENT INTER.','Mercatique-negociation-management inter.',127
'AIPAR','AIDE AU PARTENARIAT','Aide au partenariat',128
'ATCOC','ACTION ET COMMUNICATION COMMERCIALES','Action et communication commerciales',129
'ANIML','ANIMALERIE','Animalerie',130
'APB','APB','Apb',131
'PGIPR','PATHO GENE INTRO PHARMA.RADIOBIO.','Patho gene intro pharma.radiobio.',132
'PTTRT','PATHO.,THERAPEU.,TECH.RADIODIAG.-THERAP.','Patho.,therapeu.,tech.radiodiag.-therap.',133
'T-RR','TECH.RADIODIAG. ET RADIOTHERAP.','Tech.radiodiag. et radiotherap.',134
'STMS','SCIENCES ET TECHNIQUES MEDICO-SOCIALES','Sciences et techniques medico-sociales',135
'STRAD','STAGES RADIOLOGIE','Stages radiologie',136
'ECMED','ELEMENTS DE CONNAISSANCE MEDICALE','Elements de connaissance medicale',137
'IMUNO','IMMUNOLOGIE','Immunologie',138
'HCYTO','HISTOLOGIE CYTOLOGIE','Histologie cytologie',139
'HEMAT','HEMATOLOGIE','Hematologie',140
'P-PSG','PREPA.CERT.CAPA.EN PRELEVEMENT SANGUIN','Prepa.cert.capa.en prelevement sanguin',141
'STHSP','STAGE TECHNIQUE HOSPITALIERE','Stage technique hospitaliere',142
'ANATO','ANATOMIE','Anatomie',143
'ANAPP','ANATOMIE PHYSIOLOGIE PATHOLOGIE','Anatomie physiologie pathologie',144
'SMEDS','STAGE MILIEU MEDICAL SPECIALISE','Stage milieu medical specialise',145
'HHCYT','HEMATOLOGIE, HISTOLOGIE, CYTOLOGIE','Hematologie, histologie, cytologie',146
'TECMA','TECHNOLOGIE MATERIELS','Technologie materiels',147
'ANAMP','ANATOMIE-MORPHOLOGIE','Anatomie-morphologie',148
'STBP','SCIENCES ET TECHN.BIOL.ET PARAMEDICALES','Sciences et techn.biol.et paramedicales',149
'IMNEP','IM MED MEDEC NUCL 4RAD ELEC PATHOL PHARM','Im med medec nucl 4rad elec pathol pharm',150
'PRMDI','PARAMEDICAL DIVERS','Paramedical divers',151
'ESTCP','ESTHETIQUE, COSMETIQUE, PARFUMERIE','Esthetique, cosmetique, parfumerie',152
'ETCRT','ETUDE DE CAS CONCRETS','Etude de cas concrets',153
'T-HYH','TECH. DE SOINS ET HYGIENE HOSPITALIERE','Tech. de soins et hygiene hospitaliere',154
'SPERD','SOINS PERSONNELS DIVERS','Soins personnels divers',155
